T?nh,N?m,Dân s?,Dân s? nam,Dân s? n?,Dân s? thành th?,Dân s? nông thôn,S? l??ng trang tr?i,Di?n tích tr?ng lúa,S?n l??ng lúa,Di?n tích tr?ng ngô,S?n l??ng ngô,Di?n tích khoai lang,S?n l??ng khoai lang,S? l??ng trâu,S? l??ng bò,S? l??ng l?n,S? l??ng gia c?m,Di?n tích r?ng tr?ng m?i,S?n l??ng g? khai thác,Di?n tích nuôi tr?ng th?y s?n,S?n l??ng th?y s?n,S? l??t v?n chuy?n hành khách,S? l??t luân chuy?n hành khách,Kh?i l??ng hàng hóa v?n chuy?n,Kh?i l??ng hàng hóa luân chuy?n,S? tr??ng ti?u h?c,S? tr??ng thcs,S? tr??ng thpt,S? giáo viên ti?u h?c,S? giáo viên thcs,S? giáo viên thpt,S? h?c sinh ti?u h?c,S? h?c sinh thcs,S? h?c sinh thpt,S? b?nh vi?n,S? tr?m y t?,S? bác s?
Thái Nguyên,2013,1155990,569820,586170,344210,811780,445,72200,363000,19000,81600,6100,38800,69900,36100,550000,9870300,9600,271000,4800,7362,8600000,609800000,19087000,694200000,226,183,30,5325,4028,2043,86368,60494,33926,14,181,891
L?ng S?n,2013,748940,376750,372190,147450,601490,4,50800,208100,22000,105400,2100,11700,119800,31900,376200,3856300,7500,99200,1000,1354,8900000,410000000,4886200,171100000,247,204,24,5182,4125,1699,57607,42787,25202,14,226,599
B?c Giang,2013,1630650,812410,818240,165660,1464990,310,111600,588600,9300,35300,6600,67600,62000,129100,1193600,16007000,7400,271300,9500,30374,18500000,1164400000,11372800,379500000,260,225,48,7385,6710,2797,124948,93769,50176,16,230,1115
Phú Th?,2013,1355240,669050,686190,248040,1107200,124,69800,379600,18600,84400,2900,18400,70900,91100,756000,11144300,6600,348800,9800,25618,5500000,618600000,30333000,919900000,300,253,44,6155,5837,2176,104992,69633,36873,16,277,831
?i?n Biên,2013,534970,269010,265960,78350,456610,8,49000,161600,29300,74200,600,7000,119500,44400,315600,2778900,700,21400,2200,1751,1000000,168700000,1294300,92200000,173,110,28,4805,2669,1173,63281,37087,15877,14,112,426
Lai Châu,2013,414550,211170,203380,60780,353780,223,30300,126200,21200,57300,400,1900,90200,15100,180300,982600,1500,8700,800,1590,1100000,24300000,1021700,28600000,148,122,22,4271,2212,544,50164,27976,7584,11,108,372
S?n La,2013,1143910,576960,566950,157920,986000,29,56700,181300,162800,654700,400,2500,158400,195600,463700,4514000,1800,42300,2500,6356,3000000,286400000,3440800,366300000,282,231,31,7322,5098,1615,122814,71919,27237,16,204,605
Hòa Bình,2013,812750,404490,408260,124200,688550,128,41100,205400,36900,153400,5000,25800,105500,57600,335300,3725100,8800,310800,2200,5321,4500000,304800000,5403400,193900000,216,209,37,4986,4102,1561,64107,43861,24993,14,210,507
Thanh Hóa,2013,3484770,1728820,1755950,419200,3065580,587,256300,1431500,52000,218500,9700,66600,190200,211900,887600,18011000,10700,263500,15000,123902,14900000,1190000000,38269500,2367900000,731,634,101,13974,14291,5547,246775,180399,107055,36,637,2073
Ngh? An,2013,3076380,1525510,1550870,455110,2621260,239,184200,930100,56200,230400,8100,52700,292000,382400,1014900,17239100,17600,391500,20100,130788,44800000,4002600000,45372900,1961000000,541,389,90,14085,12843,5814,237571,170485,99261,29,480,1465
Hà T?nh,2013,1247560,618220,629340,208110,1039450,137,98700,479000,7700,26900,6700,39400,78600,161900,400000,5929100,5300,236200,6100,42724,13300000,1973300000,21852700,494400000,261,155,44,5532,5488,3047,97307,75952,52013,17,262,743
Qu?ng Bình,2013,865020,432150,432870,135080,729940,616,53500,251900,4500,21800,3900,28300,33100,87000,355200,2572900,4400,253600,4700,60208,11000000,634500000,13178500,492900000,210,148,27,4535,3544,1742,71194,52814,31270,8,159,460
Qu?ng Tr?,2013,611000,302100,308900,178190,432810,26,50100,224100,3600,9500,2700,19400,27900,59200,239000,1881200,7400,520200,3300,28773,5800000,590400000,6721100,502600000,160,114,30,3772,3112,1529,57260,42036,26454,10,141,434
Th?a Thiên Hu?,2013,1109800,548690,561110,536700,573100,42,53700,284900,1600,6400,3800,18400,21500,21000,199000,2125800,4300,350800,7200,47593,16000000,853000000,5433000,488900000,225,120,37,5276,4808,2501,93009,73194,41934,16,152,550
?à N?ng,2013,1017330,501620,515710,884860,132470,9,5400,31300,500,3000,300,2000,1900,13800,72300,385700,2000,100300,500,33203,26200000,1455000000,25391300,2292100000,100,55,20,3112,2721,1701,77578,48661,30987,14,56,207
Qu?ng Nam,2013,1451370,710090,741280,279850,1171520,111,87900,440300,12700,55500,4900,29400,69600,143400,488200,4867100,13200,583800,4700,83905,12400000,701200000,11865900,573600000,271,190,50,6953,5916,3027,112387,89284,61120,26,244,690
Qu?ng Ngãi,2013,1223050,603590,619460,187060,1035990,20,74800,412300,10600,56200,600,3700,61500,273900,464700,3996600,14900,590600,2100,166139,2900000,739400000,6737400,1089700000,217,161,37,5133,5063,2403,97627,70678,42758,17,182,612
Bình ??nh,2013,1487550,726140,761410,468860,1018690,39,102500,606800,8400,47200,300,1700,21000,246700,715900,6606800,12000,554300,4200,187857,26700000,2460100000,12230100,1236100000,243,144,48,6261,5284,2696,124142,95027,61117,18,159,811
Phú Yên,2013,865280,434060,431220,200390,664890,74,57800,363800,6300,22700,300,1700,3900,178900,107500,3179300,5000,206300,3000,60251,12000000,681100000,8839000,547700000,169,101,24,4357,4178,1923,76274,59019,31097,13,105,440
Khánh Hòa,2013,1184920,588260,596660,483100,701810,59,46600,258000,6700,14600,200,1000,4700,71700,122700,2679000,1400,38300,5700,96045,32700000,1187700000,15146000,1215800000,185,107,27,5051,4163,2085,101594,73789,35615,13,137,654
Ninh Thu?n,2013,573280,286410,286870,206050,367230,50,43600,247100,15400,59500,200,1700,3900,89200,71200,1375100,100,7700,1000,76508,4900000,331500000,4279300,330500000,152,63,19,3016,2172,1016,56852,36650,17479,7,65,318
Bình Thu?n,2013,1194660,599080,595580,463560,731110,441,115300,638600,19800,119600,1000,6000,8800,160200,276800,3174000,5300,152500,3000,200678,15100000,646000000,4964300,315600000,280,127,26,5716,4813,2526,111456,76498,39074,13,127,611
Kon Tum,2013,473250,238910,234340,155650,317600,62,23400,83700,7300,26700,100,1100,21000,62200,125000,806000,2000,99300,500,2479,4900000,222600000,3467200,353100000,141,100,13,3472,2655,1053,55079,35832,13031,11,97,422
Gia Lai,2013,1382970,693790,689180,397250,985730,624,74000,330500,52600,212400,1300,11700,14200,351100,430200,2284400,1400,155200,1400,4265,10200000,919500000,10667900,1572700000,271,203,42,7631,5262,2246,162473,93043,40363,21,214,620
??k L?k,2013,1794560,905530,889030,435840,1358720,553,90300,514100,123000,660500,3000,35300,33800,165700,732100,8594000,2600,214300,6300,15445,15500000,1849500000,11225500,1119400000,422,226,52,10550,8022,3893,174997,128138,68919,20,184,1077
??k Nông,2013,548100,283880,264220,81900,466200,953,12300,66600,52300,319300,7900,99200,6500,15700,135200,1435900,1100,15100,1200,3691,2500000,315400000,860000,68800000,145,78,23,3312,2245,1168,62519,38934,18179,8,71,334
Lâm ??ng,2013,1239860,623410,616450,476120,763740,484,32400,156300,16500,84000,1600,21600,17300,68000,359800,3081700,2500,157000,3200,7901,31600000,2494100000,7844600,970700000,254,140,47,5596,4757,2696,114423,85901,44810,14,148,665
Bình Ph??c,2013,923490,467560,455930,178550,744940,1326,13600,44900,5300,19400,500,2800,14400,29100,258100,4010700,600,15800,2000,5176,8500000,1053599999,1756400,122800000,171,96,25,4862,3530,1931,95380,60068,26770,12,111,399
Tây Ninh,2013,1111400,553940,557460,182580,928810,937,146300,742300,5100,27000,200,1700,24100,99900,191500,4617000,700,79800,900,15313,14500000,1135600000,10155800,710600000,265,106,30,4551,3286,1378,92932,59665,24470,12,95,399
Bình D??ng,2013,1873480,917680,955800,1205020,668460,1149,9300,37000,400,800,200,1700,5600,22600,467500,5392100,100,12700,400,4464,29100000,2259900000,34770100,1664200000,136,66,22,4868,3413,1692,123441,64297,22415,9,91,438
??ng Nai,2013,2771420,1379680,1391740,916540,1854880,1749,66200,332500,52000,340200,300,3100,3000,64800,1337700,12607000,4600,167600,10200,47617,75800000,4862700000,40301000,2600900000,302,168,50,9281,7697,3817,227077,151073,73152,16,171,1260
Bà R?a - V?ng Tàu,2013,1076850,539090,537760,572850,504010,235,23500,99100,15900,71700,100,600,600,35600,339600,3191700,900,70600,7100,299427,37900000,2560000000,5470600,267300000,144,85,29,4238,3614,2136,95720,63634,31905,12,82,460
TP.H? Chí Minh,2013,7974020,3852010,4122010,6527990,1446030,169,21400,90300,1100,3500,0,300,5600,112000,287000,305000,200,58600,6800,45120,723300000,13387600000,82740000,18833700000,476,255,120,18552,16681,11755,547346,350807,185167,52,322,6992
Long An,2013,1587850,789920,797930,268570,1319280,731,527700,2816100,3900,22400,0,300,13200,80300,259200,8059600,0,127400,9000,43252,46300000,1294000000,15193500,793500000,253,122,33,6404,4984,2471,127098,83689,37969,21,192,711
Ti?n Giang,2013,1705770,836870,868900,233690,1472080,283,235600,1348700,4300,14900,300,4100,300,76500,584200,7188000,100,65900,15400,228852,32000000,1231100000,12849600,1161200000,228,125,33,6169,4789,2144,141460,97404,37874,11,169,845
B?n Tre,2013,1269720,622270,647450,125980,1143730,279,72200,331600,700,2600,100,1500,1200,152400,441100,5140000,100,2500,44800,396043,36100000,1462500000,5316700,515600000,190,134,32,4969,4270,1924,97447,71283,31239,12,164,735
Trà Vinh,2013,1005620,495270,510350,162100,843530,70,235600,1274800,5300,28400,1600,25000,1300,131400,376800,5142500,100,82700,36900,162745,8400000,393100000,4946500,366500000,215,99,28,4945,3442,1673,81784,53402,17568,12,93,522
V?nh Long,2013,1023840,504140,519700,168300,855550,40,181900,1063700,1100,2600,10100,289600,300,53800,318500,6303300,0,17500,2600,130375,39200000,928400000,5171300,379400000,214,89,23,4333,3512,2135,79584,57001,28035,10,109,525
??ng Tháp,2013,1639210,817850,821360,293890,1345320,224,541800,3327000,5100,39000,2900,68600,2500,22600,252600,5176000,200,110300,5100,467160,26300000,698800000,4241000,470100000,319,129,40,7293,5016,2511,146476,92010,38410,16,144,960
An Giang,2013,2051620,1019020,1032600,608510,1443110,539,641400,4021400,11300,81900,300,6500,4300,91200,126300,4049400,0,36900,1800,327199,70400000,2335900000,23293000,1599800000,357,155,43,8747,7048,3045,193255,111028,44006,15,156,954
Kiên Giang,2013,1701110,860060,841050,467230,1233880,608,770400,4471800,100,700,1300,25700,7000,9600,328500,5310000,0,43500,126900,581356,37600000,2744600000,7998000,999400000,300,121,23,9115,5358,2143,160748,92321,34055,13,131,961
C?n Th?,2013,1203230,596850,606380,811190,392040,36,236600,1370300,1200,6200,100,400,300,3500,107900,1797000,0,4500,10300,187890,118100000,5701000000,6044100,725000000,182,65,23,4496,3234,1727,96919,59429,25212,17,85,789
H?u Giang,2013,747880,375210,372670,163720,584170,3,212000,1191300,2200,10400,400,5800,1700,1300,119500,3722400,100,10200,6500,61924,80500000,498800000,7589600,193100000,171,61,19,3578,2252,1152,70231,41728,15974,9,67,391
Sóc Tr?ng,2013,1254980,624470,630510,358920,896050,380,373500,2220000,4200,15900,2100,28500,3200,24700,296400,4844000,300,33300,68200,195140,36300000,568600000,4683700,219100000,306,110,22,5913,4368,1947,123115,69635,26285,11,109,551
B?c Liêu,2013,877040,437970,439070,235940,641100,3536,181800,1017900,200,900,400,2700,1500,1200,201200,2459700,0,1700,127900,270885,45100000,1073700000,4824200,192100000,142,62,15,3484,2272,829,79945,46330,14333,7,64,575
Cà Mau,2013,1202070,606040,596030,263060,939010,37,129800,566500,500,1800,200,1000,300,400,192200,1785800,4400,127500,295800,452810,33299999,788500000,773300,109000000,267,117,23,6492,3925,1594,120457,67490,22205,13,94,886
Hà N?i,2014,7285530,3595780,3689750,3583510,3702030,1637,202800,1175500,20200,98000,3400,34500,25400,140500,1410500,22405500,300,18400,23100,86575,867400000,10623300000,86085600,6870400000,707,607,183,23639,20563,12072,587471,362453,188402,40,584,3502
V?nh Phúc,2014,1076820,529540,547280,251060,825770,600,58600,331200,15100,64400,2700,27700,20500,99300,509500,8112600,600,33700,6900,19085,14200000,1608000000,20305900,1479700000,173,146,37,4225,4133,2054,91919,57543,28802,14,139,747
B?c Ninh,2014,1177060,579630,597430,327280,849780,94,72700,439400,3700,17600,600,6500,2400,34600,410700,4556400,0,4800,5400,35646,12800000,403200000,23376200,1363600000,153,135,35,4109,3885,2230,93143,64376,37697,12,126,823
Qu?ng Ninh,2014,1227670,625500,602170,709670,518000,316,43100,211300,5900,22500,4000,23600,45500,19100,374900,2735700,13400,429800,18500,98195,22400000,1599800000,20063300,1969200000,183,151,47,5933,4151,2342,99592,64609,36509,20,186,941
H?i D??ng,2014,1795790,885520,910270,394260,1401530,579,125000,742600,4100,21000,900,8500,5100,20800,577200,10262100,0,1800,10100,64887,19200000,1092900000,48807900,3290300000,281,272,54,7304,5828,2811,129867,93823,50886,20,265,1058
H?i Phòng,2014,1950710,968200,982510,894290,1056420,614,77100,484700,1300,6300,1000,10800,7000,13700,487300,7383300,0,2100,12600,104976,39400000,1606900000,62383100,14494300000,231,190,52,6427,5819,3662,145216,92154,52739,24,224,1448
H?ng Yên,2014,1188650,588080,600570,144480,1044170,584,78900,489600,8400,47000,600,8400,3000,38000,589200,8401500,0,3200,4400,32025,8300000,479700000,19707600,718200000,169,171,38,4353,4253,1978,89151,60343,33079,17,162,650
Thái Bình,2014,1822430,883450,938980,184780,1637650,721,161800,1061900,10100,54600,3500,42400,5900,41600,1040000,11098300,200,3000,14000,167821,12700000,1158900000,15134900,6859700000,295,271,39,7357,6791,2593,126072,97075,54623,20,286,1319
Hà Nam,2014,815070,399640,415430,129759,685310,468,67400,401600,8700,43500,700,8200,3300,26800,414000,5603900,0,2400,6200,21775,5300000,273000000,9556300,487100000,121,118,23,3073,2941,1285,60179,44219,24010,12,116,479
Nam ??nh,2014,1801540,881030,920510,318080,1483460,412,154900,937700,4300,18600,1800,15800,6300,33300,783500,7231600,0,7800,15800,110598,11300000,1344400000,22657100,4468900000,293,242,57,6756,6539,3215,139606,104534,56426,19,229,987
Ninh Bình,2014,939310,467200,472110,180350,758960,108,80400,484300,6300,21600,2100,17700,14700,29900,347300,4176899,100,16100,10700,39767,13300000,679200000,36311600,4240200000,150,142,27,3526,3352,1532,67309,48893,23894,13,145,455
Hà Giang,2014,792470,397690,394780,118770,673700,18,37400,207900,54200,178400,1700,7900,158900,100100,547500,3920200,4700,118600,1900,2045,2000000,141100000,1765400,43600000,193,167,22,6540,3834,1088,83790,48349,16489,15,177,594
Cao B?ng,2014,519870,259200,260670,106340,413530,3,30400,126900,39000,128100,1500,8800,101200,123300,383100,2179900,3000,15700,300,407,1600000,82900000,2138300,76600000,245,160,23,4211,2549,936,43317,28259,12926,17,199,585
B?c K?n,2014,302940,153600,149340,55480,247470,1,24000,112100,16600,64099,500,2500,55400,21100,211800,1942000,9600,141100,1100,908,3000000,220800000,1905700,28700000,112,80,11,2194,1349,537,23540,16422,7920,9,122,383
Tuyên Quang,2014,749590,376490,373100,100470,649120,90,45600,265400,15900,68000,3500,21700,106600,19300,527300,4770700,14200,472700,2900,6646,6600000,662300000,9605700,599600000,151,141,29,3942,2826,1409,62883,43879,22709,14,141,473
Lào Cai,2014,672640,340230,332410,153900,518740,21,30800,148400,39100,117700,1000,5700,122100,14700,483800,3349000,8700,107800,1900,4704,4700000,166700000,2915100,67200000,238,184,27,5498,3503,1143,69964,44900,16810,12,164,549
Yên Bái,2014,783530,392710,390820,156040,627500,19,40900,202400,28500,83600,2800,15400,98200,18800,505000,3733600,12500,450000,2300,6490,6900000,366200000,7978000,151200000,168,149,24,4204,3160,1230,71495,48853,18363,15,180,430
Thái Nguyên,2014,1198170,588300,609870,347720,850450,548,72500,365900,19500,79200,5300,33400,69600,36600,566200,9886800,9800,262700,4900,7778,9600000,653000000,20532100,739000000,226,182,29,5414,4008,1942,87304,63194,33305,14,180,908
L?ng S?n,2014,752590,379610,372980,149150,603450,6,50700,212900,21600,98400,2100,12600,120700,32800,339100,3898600,6500,99200,1000,1402,9600000,422100000,5112900,174300000,248,207,24,5011,3965,1683,57295,43736,24256,14,226,686
B?c Giang,2014,1646860,821500,825360,186080,1460780,445,112800,626600,10100,39400,6100,63300,59500,130699,1214500,16106000,7200,331400,9800,33281,20200000,1225200000,12101200,421100000,260,225,45,7352,6540,2711,127048,95041,48748,16,230,1250
Phú Th?,2014,1373670,678850,694820,252570,1121110,136,69600,376000,18700,85800,2600,16600,71600,96100,777800,11366200,7100,379900,10100,27719,6100000,643900000,33360000,989800000,299,253,44,6264,5837,2205,108305,73330,35469,16,277,1090
?i?n Biên,2014,546060,274920,271140,79640,466420,12,49400,170600,29900,76100,700,7800,121500,47400,334200,3040100,300,19900,2000,1956,1000000,183600000,1335900,99300000,175,110,31,4699,2609,1157,63740,39754,15384,14,130,471
Lai Châu,2014,421460,214690,206770,61790,359670,3,30400,127700,22100,62100,400,2100,95600,15900,188600,833300,1100,8500,800,1722,1100000,24600000,1040900,32700000,145,116,19,4219,2205,558,51709,29627,8260,11,108,407
S?n La,2014,1159740,585410,574330,160190,999560,37,54300,183300,162500,657700,300,2200,153000,214100,514400,5023000,2700,42400,2600,6548,3000000,289600000,3766500,409900000,286,231,31,7590,5104,1599,125403,75514,26383,16,204,631
Hòa Bình,2014,819620,408220,411400,125880,693740,117,40400,215000,37600,152200,4900,26600,104100,57500,344900,3852000,8700,335300,2200,5544,4600000,312900000,5596900,220400000,214,206,37,5032,3998,1553,66303,45268,23836,14,210,596
Thanh Hóa,2014,3507090,1741580,1765510,437330,3069760,697,258600,1516500,54700,221300,8900,61200,192800,216000,888100,17667000,11200,347800,15300,133048,16100000,1268800000,41463700,2533900000,710,633,101,13314,12826,5433,247191,185439,97849,37,637,2286
Ngh? An,2014,3116330,1549590,1566740,460400,2655940,314,187900,1012500,55700,193100,6300,40900,296200,391200,971900,17659000,18200,528500,20200,142674,48500000,4350300000,50871600,1986200000,543,388,89,13821,12495,5660,240771,170963,91977,28,480,1504
Hà T?nh,2014,1255250,622370,632880,215230,1040020,181,101100,511400,8300,24900,5900,35900,79600,175300,434200,6297700,6100,258200,6500,44338,14600000,2113100000,22911500,533100000,261,144,43,5429,5303,2973,97284,75315,47686,17,262,786
Qu?ng Bình,2014,870490,435080,435410,173920,696570,627,54200,277400,4500,21400,3700,27500,34900,89200,358600,2636400,5400,227100,5000,64541,11600000,661300000,14665800,529600000,208,148,27,4526,3558,1761,70722,54363,29919,8,159,508
Qu?ng Tr?,2014,614370,303900,310470,181010,433360,32,50200,258700,3800,11200,2600,19000,27500,65200,268700,2086000,6800,525500,3400,31533,6200000,522100000,7308600,536799999,158,113,30,3768,2944,1529,56822,42534,25123,11,141,450
Th?a Thiên Hu?,2014,1111580,549660,561920,540010,571580,45,53700,317100,1600,6200,3400,15700,21600,22400,201700,2165600,4300,390600,7500,50807,17500000,839500000,5819300,514500000,219,119,37,5179,4615,2489,91371,71851,39295,17,152,611
?à N?ng,2014,1033930,509770,524160,899610,134330,9,5500,33900,400,2000,300,2100,1900,16100,71000,449700,2300,98500,500,33590,29900000,1520900000,27045000,2418600000,99,55,20,3493,2775,1710,80548,51517,29608,13,56,959
Qu?ng Nam,2014,1459790,714720,745070,283460,1176330,117,87400,466900,13400,59700,4400,29100,70800,151200,498100,4929200,15900,671700,4900,91764,10000000,735100000,12496300,593800000,275,195,50,7149,6026,3040,114110,88431,56303,26,244,739
Qu?ng Ngãi,2014,1224520,604540,619980,189400,1035119,31,73800,422500,10500,57700,400,2400,63600,274300,458100,4108600,17300,783200,1900,180802,3100000,764800000,7203200,1105900000,216,166,37,5301,5100,2368,97736,70603,39262,18,183,665
Bình ??nh,2014,1487600,726000,761600,470220,1017380,61,106300,649700,8300,46400,300,1600,21400,252400,755900,6728600,14900,748400,4500,199812,28000000,2624800000,12812000,1295600000,244,145,50,6278,5174,2654,123943,94762,55825,17,159,774
